id,course
590,Sản suất cấu kiện và các nhóm cấu trúc từ nhựa
591,Lập kế hoạch và tổ chức chế tạo bằng máy tính
592,Lập kế hoạch và tổ chức chế tạo có máy tính hỗ trợ
593,Sản xuất chế tạo các công trình hàn
594,"Lắp ráp, tháo và vận hành hệ thống kỹ thuật"
595,Lập trình các hệ thống và thiết bị tự động
596,Giao tiếp kỹ thuật và giao tiếp doanh nghiệp 1
597,Lập kế hoạch và điều khiển tiến trình làm việc; kiểm tra và đánh giá kết quả công việc
598,Quản lý chất lượng
599,Đo và kiểm tra
600,Nối ghép 1
601,Gia công cắt gọt và biến dạng bằng tay
602,Gia công bằng máy
603,Bảo trì và bảo dưỡng các phương tiện sản xuất
604,"Phân biệt, sắp xếp và sử dụng các loại vật liệu gia công và phụ liệu; Xử lý nhiệt"
605,"Lập trình cho các thiết bị, máy hoặc hệ thống điều khiển số"
606,Gia công trên các máy công cụ trên cơ sở ứng dụng các phương pháp gia công khác nhau 1
607,"Lắp đặt và kiểm tra các cụm điều khiển thủy lực, 
khí nén và điện khí nén"
608,Lắp ráp và đưa hệ thống vào hoạt động
609,Bảo trì các hệ thống kỹ thuật
610,Thực tập tại công ty 1
611,Nối ghép 2
612,Ngoại ngữ chuyên ngành 2
613,Ngoại ngữ chuyên ngành 3
614,Giao tiếp kỹ thuật và giao tiếp doanh nghiệp 2
615,Gia công trên các máy công cụ trên cơ sở ứng dụng các phương pháp gia công khác nhau 2
616,Gia công trên các máy công cụ trên cơ sở ứng dụng các phương pháp gia công khác nhau 3
617,Thực tập tại công ty  2
618,Sản xuất các chi tiết tiện và phay
619,Gia công chi tiết bằng máy
620,Chế tạo các cấu kiện đơn giản
621,Gia công chi tiết bằng dụng cụ cầm tay
622,Gia công chi tiết bằng máy
623,Chế tạo các cấu kiện đơn giản
624,Bảo dưỡng hệ thống kỹ thuật
625,Tạo hình các chi tiết thông qua gia công cắt gọt
626,Chế tạo các hệ thống thành phần kỹ thuật của máy công cụ
627,Gia công bằng máy công cụ điều khiển kỹ thuật số
628,Lập kế hoạch và vận hành các hệ thống kỹ thuật điều khiển
629,Chế tạo bề mặt định hình máy công cụ
630,Gia công chi tiết trong quá trình gia công dựa vào máy tính
631,Chế tạo các hệ thống kỹ thuật của máy công cụ
632,Vận hành và bảo trì hệ thống kỹ thuật của máy công cụ
633,Lập kế hoạch và chế tạo hệ thống kỹ thuật máy công cụ
634,Thay đổi và tương thích hệ thống kỹ thuật máy công cụ
635,Truyền thông xí nghiệp và kỹ thuật
636,"Lập kế hoạch và tổ chức làm việc, đánh giá kết quả công việc"
637,"Phân biệt, phân loại và sử dụng vật liệu và vật liệu hỗ trợ"
638,Sản xuất các chi tiết và cấu kiện 1
639,Bảo trì các thiết bị vận hành
640,Kỹ thuật điều khiển
641,"Chèn chặn, gia cố chắc chắn và vận chuyển"
642,Định hướng khách hàng
643,Gia công chi tiết bằng các phương pháp gia công khác nhau
644,Lắp ráp và tháo rời
